feature,importance,category
POS: nnp nnp nnp nn,0.0010598631,POS
POS: nn nnp nn,0.0010576345,POS
CHAR: tin,0.0010564581,CHAR
CHAR: ist,0.0010475551,CHAR
CHAR:  a,0.0010468117,CHAR
POS: jj nn nn,0.0010447856,POS
POS: nn nnp vbz,0.0010424292,POS
POS: jj nn vbg,0.0010381044,POS
CHAR:  #,0.0010347138,CHAR
CHAR: s t,0.001029989,CHAR
CHAR: ste,0.0010291238,CHAR
CHAR: s.,0.001027474,CHAR
POS: dt jj nn,0.0010269012,POS
POS: nnp nnp nnp vbz,0.0010252697,POS
POS: nn vbg dt,0.0010248414,POS
POS: jj nns vbp,0.0010234113,POS
POS: nn cc nn,0.0010113574,POS
CHAR: fo,0.0010105096,CHAR
CHAR: rs,0.0010020754,CHAR
POS: jj nn cc jj,0.0010020497,POS
CHAR:  for,0.0009983818,CHAR
CHAR:  i,0.0009961739,CHAR
POS: prp vbp rb,0.000995475,POS
POS: nn nn nnp,0.000995333,POS
CHAR: do,0.0009935666,CHAR
POS: nn nn rb,0.0009903623,POS
CHAR: as ,0.0009891129,CHAR
CHAR:  ch,0.0009889104,CHAR
POS: nn nn cd,0.0009868001,POS
CHAR: h ,0.00098632,CHAR
CHAR: bo,0.000984421,CHAR
CHAR: pl,0.0009842409,CHAR
CHAR: le,0.0009799681,CHAR
CHAR: st ,0.0009794142,CHAR
"CHAR: s,",0.0009787615,CHAR
CHAR: ru,0.0009782952,CHAR
CHAR: ts ,0.00097514957,CHAR
POS: nn cc jj nns,0.0009737655,POS
CHAR: wo,0.0009734725,CHAR
CHAR:  or ,0.00096931215,CHAR
CHAR: as,0.00096858863,CHAR
CHAR:  g,0.00096697785,CHAR
CHAR:  se,0.0009640854,CHAR
CHAR: hat,0.00095755694,CHAR
CHAR: can,0.0009474081,CHAR
CHAR: - *,0.0009473529,CHAR
POS: dt nn nn,0.0009446701,POS
CHAR: la,0.0009431934,CHAR
POS: jj nn cc nn,0.0009417182,POS
CHAR: al,0.0009381192,CHAR
CHAR:  p,0.00093731476,CHAR
CHAR: ight,0.000931508,CHAR
POS: to dt nn,0.000930774,POS
CHAR: s o,0.0009298632,CHAR
POS: prp nn in,0.00092878996,POS
CHAR: ul,0.00092830067,CHAR
CHAR: ht,0.00092533126,CHAR
CHAR: at,0.0009253095,CHAR
CHAR:  h,0.00092395785,CHAR
CHAR: il,0.00092155184,CHAR
CHAR:  int,0.0009195729,CHAR
CHAR: is ,0.00091706327,CHAR
CHAR: e ,0.00091507286,CHAR
CHAR: st,0.0009131699,CHAR
CHAR: lt,0.00091253687,CHAR
POS: vbp dt nn,0.0009109649,POS
POS: cc nn in,0.00091088115,POS
POS: nnp nnp rb,0.0009101682,POS
CHAR: tu,0.00090567186,CHAR
CHAR:  v,0.000901896,CHAR
CHAR: t ,0.00090162596,CHAR
CHAR: ity,0.0009016212,CHAR
CHAR:  co,0.00090044405,CHAR
CHAR: tiv,0.00089985866,CHAR
CHAR:  e,0.00089884514,CHAR
CHAR: ay,0.0008983744,CHAR
POS: nns vbp rb,0.00089693547,POS
CHAR: od,0.00089587073,CHAR
POS: nn in nnp nnp,0.0008949783,POS
CHAR:  re,0.0008938007,CHAR
CHAR: ut,0.0008930261,CHAR
CHAR: fr,0.0008927338,CHAR
"CHAR: , an",0.00089057314,CHAR
CHAR:  m,0.0008896198,CHAR
CHAR: tt,0.0008883287,CHAR
POS: nn nn in,0.00088651397,POS
POS: cd nn nnp,0.00088367175,POS
POS: nns jj nn,0.0008812636,POS
CHAR: ep,0.0008790698,CHAR
POS: in jj nn,0.0008782643,POS
POS: nnp nnp nn,0.0008776374,POS
CHAR: po,0.00087458605,CHAR
CHAR: op,0.0008739456,CHAR
POS: dt nn rb,0.00087296613,POS
POS: nns jj nns,0.00087242795,POS
CHAR: wh,0.0008712922,CHAR
CHAR:  com,0.00087111746,CHAR
POS: in prp vbp,0.00087105756,POS
POS: dt nn in,0.00087043527,POS
CHAR: es,0.00086961215,CHAR
CHAR: lin,0.0008690641,CHAR
POS: nn nn nn nnp,0.00086876715,POS
POS: vbz dt nn in,0.00086551614,POS
CHAR: s. ,0.0008624863,CHAR
CHAR: igh,0.00086202926,CHAR
POS: nns in jj nn,0.0008594065,POS
CHAR: fic,0.0008589401,CHAR
CHAR: ar,0.0008586013,CHAR
CHAR:  con,0.0008556863,CHAR
CHAR: o ,0.00085529406,CHAR
POS: jj nn nnp nn,0.0008550655,POS
CHAR: ver,0.0008550322,CHAR
POS: jj nn nn in,0.00085473154,POS
CHAR: e p,0.00085456914,CHAR
CHAR: our,0.0008529357,CHAR
CHAR: av,0.0008524556,CHAR
POS: vbg jj nns,0.0008487495,POS
POS: vb prp nn,0.00084716367,POS
CHAR:  wi,0.0008459552,CHAR
CHAR:  and,0.00084533973,CHAR
CHAR: ba,0.00084410293,CHAR
POS: nn jj nn,0.00083782297,POS
CHAR: am,0.0008368055,CHAR
CHAR: ce,0.0008349841,CHAR
POS: nnp nnp nnp nnp,0.00083497574,POS
CHAR: de,0.00083371805,CHAR
CHAR: ta,0.000833362,CHAR
CHAR: tion,0.00082917116,CHAR
POS: prp vbp jj,0.0008280751,POS
CHAR:  a ,0.00082654535,CHAR
CHAR: ic,0.00082653656,CHAR
CHAR:  ha,0.00082439836,CHAR
POS: nnp nn nnp nnp,0.00082039717,POS
CHAR: for,0.00082027266,CHAR
CHAR: ls,0.00081587624,CHAR
CHAR: nal,0.0008138764,CHAR
POS: nnp nnp prp,0.0008122456,POS
WORD: here are some,0.0008115042,WORD
CHAR: ly,0.00081004703,CHAR
POS: md vb dt,0.00080950116,POS
POS: in dt nn,0.0008082942,POS
CHAR: ie,0.00080637995,CHAR
CHAR:  sp,0.0008062959,CHAR
POS: nnp dt nn,0.00080587465,POS
POS: nn jj jj nn,0.0008050257,POS
POS: jj nns nnp,0.0008046932,POS
CHAR: du,0.00080371974,CHAR
POS: nnp nnp in nnp,0.00080329215,POS
CHAR: en,0.0008010025,CHAR
CHAR: ll,0.0008002613,CHAR
POS: prp vbp vbg,0.0007984807,POS
CHAR:  d,0.00079836574,CHAR
POS: in prp jj,0.00079786096,POS
POS: nns cc jj nns,0.0007975085,POS
CHAR: ear,0.0007865822,CHAR
WORD: be happy to,0.0007857393,WORD
CHAR: pi,0.00078418426,CHAR
CHAR: wi,0.000783757,CHAR
POS: nn nn vbz,0.0007831758,POS
POS: nnp nnp nnp cc,0.0007800179,POS
POS: jj nn cd vb,0.0007788211,POS
CHAR: mo,0.000775749,CHAR
CHAR: ck,0.00077244354,CHAR
CHAR: el,0.00076996046,CHAR
POS: rb vbn in,0.00076918496,POS
CHAR: or ,0.0007655974,CHAR
CHAR: e c,0.0007598078,CHAR
POS: in nn nn,0.000757613,POS
POS: vbz jj jj,0.0007570389,POS
CHAR: er,0.00075695134,CHAR
POS: dt nn nnp,0.0007560564,POS
CHAR: ment,0.00075069454,CHAR
POS: nn in nn,0.0007495145,POS
"CHAR: , a",0.0007480465,CHAR
CHAR: act,0.0007464777,CHAR
POS: jj jj nn jj,0.00074535894,POS
CHAR: to,0.0007425622,CHAR
CHAR: rt,0.0007412013,CHAR
POS: prp jj nn,0.00074042345,POS
POS: jj jj nn,0.0007383759,POS
CHAR: the,0.00073781743,CHAR
POS: vbz dt jj nn,0.0007376259,POS
POS: nn jj jj,0.00073750434,POS
CHAR: use,0.00073555025,CHAR
CHAR: ine,0.00073452824,CHAR
CHAR: t t,0.0007324211,CHAR
CHAR: rd,0.00073088094,CHAR
CHAR: ke,0.00072865124,CHAR
CHAR:  s,0.00072821503,CHAR
POS: nn dt jj nn,0.0007254186,POS
CHAR: th ,0.00072490145,CHAR
CHAR: rea,0.0007240804,CHAR
CHAR: ed,0.00072339206,CHAR
CHAR:  ex,0.0007204881,CHAR
CHAR: her,0.000719909,CHAR
CHAR: um,0.0007196008,CHAR
CHAR: nc,0.0007187937,CHAR
CHAR: te ,0.0007181129,CHAR
WORD: if you need,0.00071755546,WORD
CHAR: it,0.00071748043,CHAR
CHAR: of ,0.0007122048,CHAR
POS: nn nns cc,0.0007115593,POS
CHAR: su,0.00070972345,CHAR
CHAR: ing,0.0007093647,CHAR
CHAR: he,0.0007077999,CHAR
CHAR:  tha,0.0007070981,CHAR
POS: jj nns rb,0.00070665474,POS
POS: nnp nnp nn nnp nnp,0.0007066165,POS
POS: prp nn nn,0.00070599624,POS
POS: jj jj nn nnp nnp,0.0007047881,POS
CHAR: ry,0.000704776,CHAR
POS: vbz dt jj nn in,0.0006997948,POS
CHAR: qu,0.0006997737,CHAR
POS: nnp jj nn nnp,0.00069734134,POS
POS: jj nnp jj,0.0006959418,POS
CHAR: d ,0.0006949326,CHAR
POS: nnp nnp nnp nnp jj,0.0006946445,POS
POS: cc jj nn,0.0006934168,POS
POS: dt jj nn in,0.00069068995,POS
POS: in dt jj nn,0.00069028814,POS
CHAR: it ,0.00068955484,CHAR
CHAR:  t,0.00068689825,CHAR
CHAR: nd ,0.0006863292,CHAR
POS: cd vb jj nnp,0.00068462075,POS
CHAR:  po,0.0006843261,CHAR
POS: nn nnp jj,0.0006839798,POS
CHAR: ec,0.0006830942,CHAR
CHAR: ing ,0.00068180927,CHAR
CHAR: tra,0.0006813806,CHAR
CHAR: ld,0.00068100845,CHAR
CHAR: mi,0.00068011513,CHAR
POS: cd nnp nnp nnp,0.0006792205,POS
POS: nnp nnp nnp nnp nnp,0.00067906594,POS
